Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Friday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the left,Slight Injury,6,20
Saturday,31-50,Male,Junior high school,5-10yr,Public (> 45 seats),Owner,Unknown,  Recreational areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,15,0
Saturday,Under 18,Male,Junior high school,1-2yr,Public (12 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,15,0
Thursday,Unknown,Female,Junior high school,5-10yr,Automobile,Organization,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,5,3,Unknown or other,Moving Backward,Slight Injury,0,43
Monday,18-30,Male,High school,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Unknown,Driver or rider,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,5,15
Monday,18-30,Male,Junior high school,Below 1yr,Automobile,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Turnover,Passenger,Male,Under 18,3,Not a Pedestrian,Changing lane to the left,Slight Injury,5,15
Tuesday,31-50,Male,Writing & reading,5-10yr,Pick up upto 10Q,Owner,1-2yr,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Getting off,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,21,48
Wednesday,Unknown,Male,Above high school,Above 10yr,Public (12 seats),Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,18,30
Wednesday,Under 18,Male,High school,Below 1yr,Automobile,Owner,2-5yrs,Other,One way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,18,30
Tuesday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,7,30
Tuesday,Unknown,Female,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Male,Under 18,2,Not a Pedestrian,Changing lane to the left,Slight Injury,7,30
Thursday,Over 51,Male,Junior high school,Above 10yr,Stationwagen,Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,T Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,16,0
Thursday,18-30,Male,Junior high school,Above 10yr,Other,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,T Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,16,0
Wednesday,18-30,Male,Junior high school,No Licence,Other,Owner,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Pedestrian,Male,31-50,3,Unknown or other,No distancing,Serious Injury,15,16
Wednesday,Over 51,Male,Junior high school,1-2yr,Other,Governmental,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Over 51,3,Crossing from driver's nearside,Driving to the left,Serious Injury,15,16
Wednesday,Over 51,Male,Illiterate,1-2yr,Public (13?45 seats),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,15,16
Thursday,Over 51,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Other,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,15,40
Thursday,Over 51,Male,Junior high school,1-2yr,Public (12 seats),Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,15,40
Saturday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,22,4
Saturday,18-30,Male,Unknown,5-10yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Moving Backward,Serious Injury,22,4
Saturday,18-30,Male,Unknown,Above 10yr,Stationwagen,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Serious Injury,22,4
Friday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,other,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,8,10
Friday,31-50,Male,Elementary school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,8,10
Friday,31-50,Male,Writing & reading,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Other,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,8,10
Sunday,18-30,Male,Junior high school,5-10yr,Public (> 45 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Fatal injury,11,16
Sunday,18-30,Male,Junior high school,5-10yr,Public (12 seats),Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,5,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Fatal injury,11,16
Sunday,18-30,Male,Junior high school,Below 1yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,5,Moving Backward,Pedestrian,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Fatal injury,11,16
Sunday,18-30,Male,Junior high school,2-5yr,Public (12 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,5,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Fatal injury,11,16
Sunday,18-30,Male,Elementary school,2-5yr,Other,Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,5,Moving Backward,Pedestrian,Male,31-50,3,Unknown or other,Changing lane to the right,Fatal injury,11,16
Sunday,18-30,Male,Junior high school,2-5yr,Public (12 seats),Owner,5-10yrs, Church areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,5,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Changing lane to the left,Fatal injury,11,16
Monday,Under 18,Male,Junior high school,2-5yr,Stationwagen,Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,20,35
Monday,Under 18,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,20,35
Wednesday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Overtaking,Serious Injury,9,26
Wednesday,18-30,Male,Junior high school,Above 10yr,Special vehicle,Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,9,26
Wednesday,Over 51,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,12,15
Wednesday,Over 51,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,1-2yr,Other,other,Steep grade downward with mountainous terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,12,15
Monday,Unknown,Male,Junior high school,Above 10yr,Public (> 45 seats),Owner,2-5yrs,Office areas,One way,Steep grade downward with mountainous terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,Under 18,3,Not a Pedestrian,Moving Backward,Slight Injury,14,45
Monday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,14,45
Tuesday,Unknown,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,9,25
Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,Organization,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overturning,Slight Injury,9,25
Thursday,18-30,Male,Junior high school,Below 1yr,Public (> 45 seats),Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,Changing lane to the left,Slight Injury,14,20
Thursday,18-30,Male,Junior high school,5-10yr,Lorry (11?40Q),Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,14,20
Sunday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,2,Unknown or other,Moving Backward,Slight Injury,17,30
Sunday,18-30,Male,Junior high school,5-10yr,Lorry (11?40Q),Governmental,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to vehicle,Slight Injury,17,30
Saturday,18-30,Male,Junior high school,Above 10yr,Pick up upto 10Q,Owner,Unknown,Other,One way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,20,31
Wednesday,31-50,Male,High school,Above 10yr,Special vehicle,Owner,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Unknown or other,No distancing,Slight Injury,17,18
Wednesday,31-50,Male,Junior high school,Above 10yr,Lorry (11?40Q),Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,17,18
Monday,Unknown,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Serious Injury,15,34
Monday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,15,34
Monday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Serious Injury,15,34
Wednesday,Unknown,Male,Junior high school,5-10yr,Other,Owner,1-2yr,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,8,46
Saturday,Over 51,Male,Junior high school,2-5yr,Other,Owner,Above 10yr, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,1,Reversing,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Serious Injury,16,59
Monday,Under 18,Male,Junior high school,Below 1yr,Automobile,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,21,30
Monday,Under 18,Male,Junior high school,Below 1yr,Other,Owner,Unknown,Office areas,other,Tangent road with mountainous terrain and,No junction,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Reversing,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,21,30
